Well Position	Cycle	Target Name	Rn	Delta Rn
F1	1	Target 1	-0.758	0
F1	2	Target 1	-0.762	-0.008
F1	3	Target 1	-0.742	0.009
F1	4	Target 1	-0.749	-0.001
F1	5	Target 1	-0.749	-0.004
F1	6	Target 1	-0.747	-0.005
F1	7	Target 1	-0.746	-0.008
F1	8	Target 1	-0.734	0.001
F1	9	Target 1	-0.722	0.009
F1	10	Target 1	-0.728	0
F1	11	Target 1	-0.739	-0.014
F1	12	Target 1	-0.709	0.012
F1	13	Target 1	-0.69	0.028
F1	14	Target 1	-0.656	0.059
F1	15	Target 1	-0.612	0.099
F1	16	Target 1	-0.542	0.166
F1	17	Target 1	-0.449	0.256
F1	18	Target 1	-0.374	0.327
F1	19	Target 1	-0.314	0.384
F1	20	Target 1	-0.267	0.427
F1	21	Target 1	-0.239	0.453
F1	22	Target 1	-0.226	0.462
F1	23	Target 1	-0.217	0.468
F1	24	Target 1	-0.215	0.466
F1	25	Target 1	-0.212	0.466
F1	26	Target 1	-0.21	0.464
F1	27	Target 1	-0.208	0.464
F1	28	Target 1	-0.199	0.469
F1	29	Target 1	-0.2	0.465
F1	30	Target 1	-0.203	0.458
F1	31	Target 1	-0.214	0.444
F1	32	Target 1	-0.215	0.44
F1	33	Target 1	-0.207	0.444
F1	34	Target 1	-0.204	0.445
F1	35	Target 1	-0.201	0.444
F1	36	Target 1	-0.201	0.44
F1	37	Target 1	-0.202	0.436
F1	38	Target 1	-0.203	0.432
F1	39	Target 1	-0.203	0.428
F1	40	Target 1	-0.2	0.428
F2	1	Target 1	-0.825	-0.004
F2	2	Target 1	-0.832	-0.015
F2	3	Target 1	-0.831	-0.016
F2	4	Target 1	-0.818	-0.007
F2	5	Target 1	-0.793	0.015
F2	6	Target 1	-0.79	0.014
F2	7	Target 1	-0.787	0.014
F2	8	Target 1	-0.793	0.004
F2	9	Target 1	-0.808	-0.014
F2	10	Target 1	-0.798	-0.008
F2	11	Target 1	-0.787	0
F2	12	Target 1	-0.782	0.002
F2	13	Target 1	-0.788	-0.007
F2	14	Target 1	-0.778	0
F2	15	Target 1	-0.769	0.005
F2	16	Target 1	-0.757	0.014
F2	17	Target 1	-0.741	0.026
F2	18	Target 1	-0.722	0.042
F2	19	Target 1	-0.672	0.088
F2	20	Target 1	-0.603	0.155
F2	21	Target 1	-0.516	0.238
F2	22	Target 1	-0.429	0.322
F2	23	Target 1	-0.353	0.394
F2	24	Target 1	-0.297	0.447
F2	25	Target 1	-0.269	0.472
F2	26	Target 1	-0.246	0.491
F2	27	Target 1	-0.231	0.503
F2	28	Target 1	-0.218	0.512
